Roblox;2006;EUA;Sandbox/Plataforma;Variado;Multiplayer;PC/Console/Mobile;
Red Dead Redemption 2;2018;EUA;Action/adventure;Velho Oeste;Singleplayer/Multiplayer;PC/Console;
The Legend of Zelda: Breath of the Wild;2017;Japão;Action/adventure;Fantasia;Singleplayer;Console;
Elden Ring;2022;Japão;Action/RPG;Fantasia sombria;Singleplayer/Multiplayer;PC/Console;
Grand Theft Auto V;2013;EUA;Action/adventure;Crime;Singleplayer/Multiplayer;PC/Console;
Minecraft;2011;Suécia;Sandbox/Survival;Exploração;Singleplayer/Multiplayer;PC/Console/Mobile;
Baldur's Gate 3;2023;Bélgica;RPG;Fantasia;Singleplayer/Multiplayer;PC/Console;
God of War (2018);2018;EUA;Action/adventure;Mitologia nórdica;Singleplayer;Console;
Hades;2020;EUA;Roguelike;Mitologia grega;Singleplayer;PC/Console;
Stardew Valley;2016;EUA;Simulação/RPG;Vida rural;Singleplayer/Multiplayer;PC/Console/Mobile;
Hollow Knight;2017;Austrália;Metroidvania;Fantasia sombria;Singleplayer;PC/Console;
Mass Effect 2;2010;Canadá;Action/RPG;Ficção científica;Singleplayer;PC/Console;
Portal 2;2011;EUA;Puzzle/Plataforma;Ficção científica;Singleplayer/Multiplayer;PC/Console;
BioShock;2007;EUA;FPS;Distopia;Singleplayer;PC/Console;
Dark Souls III;2016;Japão;Action/RPG;Fantasia sombria;Singleplayer/Multiplayer;PC/Console;
Super Mario Odyssey;2017;Japão;Plataforma;Fantasia;Singleplayer;Console;
Cyberpunk 2077;2020;Polônia;Action/RPG;Cyberpunk;Singleplayer;PC/Console;
Counter-Strike 2;2023;EUA;FPS;Combate tático;Multiplayer;PC;
League of Legends;2009;EUA;MOBA;Fantasia;Multiplayer;PC;
Celeste;2018;Canadá;Plataforma;Autodescoberta;Singleplayer;PC/Console;
The Last of Us Part I;2013;EUA;Action/adventure;Pós-apocalíptico;Singleplayer;PC/Console;
Bloodborne;2015;Japão;Action/RPG;Horror gótico;Singleplayer/Multiplayer;Console;
Sekiro: Shadows Die Twice;2019;Japão;Action/adventure;Japão feudal;Singleplayer;PC/Console;
Persona 5 Royal;2019;Japão;RPG;Vida urbana/Fantasia;Singleplayer;PC/Console;
Disco Elysium;2019;Estônia;RPG;Investigação;Singleplayer;PC/Console;
Ghost of Tsushima;2020;EUA;Action/adventure;Japão feudal;Singleplayer/Multiplayer;PC/Console;
Undertale;2015;EUA;RPG;Fantasia;Singleplayer;PC/Console;
Super Metroid;1994;Japão;Metroidvania;Ficção científica;Singleplayer;Console;
Castlevania: Symphony of the Night;1997;Japão;Metroidvania;Fantasia gótica;Singleplayer;Console;
Chrono Trigger;1995;Japão;RPG;Viagem no tempo;Singleplayer;Console/PC;
Final Fantasy VII;1997;Japão;RPG;Fantasia/Ficção científica;Singleplayer;Console/PC;
Resident Evil 4;2005;Japão;Survival Horror;Horror;Singleplayer;PC/Console;
Street Fighter 6;2023;Japão;Luta;Competição;Singleplayer/Multiplayer;PC/Console;
Dead Cells;2018;França;Roguelike/Metroidvania;Fantasia;Singleplayer;PC/Console;
Animal Crossing: New Horizons;2020;Japão;Simulação;Vida social;Singleplayer/Multiplayer;Console;
DOOM (2016);2016;EUA;FPS;Horror/Ficção científica;Singleplayer/Multiplayer;PC/Console;
The Elder Scrolls V: Skyrim;2011;EUA;RPG;Fantasia;Singleplayer;PC/Console;
Fallout: New Vegas;2010;EUA;RPG;Pós-apocalíptico;Singleplayer;PC/Console;
Horizon Zero Dawn;2017;Países Baixos;Action/RPG;Ficção científica;Singleplayer;PC/Console;
Control;2019;Finlândia;Action/adventure;Sobrenatural;Singleplayer;PC/Console;
Half-Life 2;2004;EUA;FPS;Ficção científica;Singleplayer;PC/Console;
Metal Gear Solid V: The Phantom Pain;2015;Japão;Stealth/Action;Guerra;Singleplayer/Multiplayer;PC/Console;
The Legend of Zelda: Ocarina of Time;1998;Japão;Action/adventure;Fantasia;Singleplayer;Console;
Super Mario 64;1996;Japão;Plataforma;Fantasia;Singleplayer;Console;
God of War Ragnarök;2022;EUA;Action/adventure;Mitologia nórdica;Singleplayer;Console;
The Last of Us Part II;2020;EUA;Action/adventure;Pós-apocalíptico;Singleplayer;Console;
Uncharted 4: A Thief's End;2016;EUA;Action/adventure;Aventura;Singleplayer;Console;
Marvel's Spider-Man;2018;EUA;Action/adventure;Super-herói;Singleplayer;Console;
Batman: Arkham City;2011;EUA;Action/adventure;Super-herói;Singleplayer;PC/Console;
Subnautica;2018;EUA;Survival;Exploração submarina;Singleplayer;PC/Console;
Outer Wilds;2019;EUA;Adventure;Exploração espacial;Singleplayer;PC/Console;
Divinity: Original Sin 2;2017;Bélgica;RPG;Fantasia;Singleplayer/Multiplayer;PC/Console;
Civilization VI;2016;EUA;Estratégia;História;Singleplayer/Multiplayer;PC/Console;
XCOM 2;2016;EUA;Estratégia;Ficção científica;Singleplayer/Multiplayer;PC/Console;
Crusader Kings III;2020;Suécia;Estratégia;História medieval;Singleplayer/Multiplayer;PC;
Age of Empires II: Definitive Edition;2019;EUA;Estratégia;História medieval;Singleplayer/Multiplayer;PC;
StarCraft II;2010;EUA;Estratégia;Ficção científica;Singleplayer/Multiplayer;PC;
Diablo II: Resurrected;2021;EUA;Action/RPG;Fantasia sombria;Singleplayer/Multiplayer;PC/Console;
World of Warcraft;2004;EUA;MMORPG;Fantasia;Multiplayer;PC;
Final Fantasy XIV;2013;Japão;MMORPG;Fantasia;Multiplayer;PC/Console;
Monster Hunter: World;2018;Japão;Action/RPG;Fantasia;Singleplayer/Multiplayer;PC/Console;
